Time / s	
421.2	0.168354
421.6	0.168413
422	0.168242
422.4	0.168067
422.8	0.168313
423.2	0.168277
423.6	0.168265
424	0.168229
424.4	0.168251
424.8	0.168166
425.2	0.168212
425.6	0.168152
426	0.168177
426.4	0.168105
426.8	0.168109
427.2	0.168151
427.6	0.168172
428	0.168161
428.4	0.16805
428.8	0.168157
429.2	0.168116
429.6	0.168124
430	0.168126
430.4	0.168161
430.8	0.168043
431.2	0.168084
431.6	0.168141
432	0.168105
432.4	0.168108
432.8	0.168083
433.2	0.168097
433.6	0.168124
434	0.168034
434.4	0.168113
434.8	0.167994
435.2	0.168075
435.6	0.168104
436	0.168103
436.4	0.167969
436.8	0.168111
437.2	0.168088
437.6	0.168062
438	0.168089
438.4	0.168055
438.8	0.168036
439.2	0.168064
439.6	0.167998
440	0.168081
440.4	0.168018
440.8	0.168053
441.2	0.168021
441.6	0.168003
442	0.168011
442.4	0.167967
442.8	0.167932
443.2	0.167959
443.6	0.167987
444	0.167945
444.4	0.167924
444.8	0.167973
445.2	0.167797
445.6	0.167923
446	0.16789
446.4	0.167875
446.8	0.16792
447.2	0.167879
447.6	0.167906
448	0.167867
448.4	0.167883
448.8	0.167875
449.2	0.167885
449.6	0.16791
450	0.167925
450.4	0.167797
450.8	0.167855
451.2	0.167852
451.6	0.167865
452	0.167825
452.4	0.167796
452.8	0.167906
453.2	0.168053
453.6	0.167961
454	0.167857
454.4	0.167717
454.8	0.167842
455.2	0.167781
455.6	0.16766
456	0.167715
456.4	0.167756
456.8	0.167689
457.2	0.167715
457.6	0.167712
458	0.167684
458.4	0.16762
458.8	0.167737
459.2	0.16762
459.6	0.167703
460	0.16762
460.4	0.167648
460.8	0.167714
461.2	0.167848
461.6	0.167641
462	0.167721
462.4	0.167767
462.8	0.167627
463.2	0.167713
463.6	0.167794
464	0.167685
464.4	0.167741
464.8	0.167683
465.2	0.167694
465.6	0.167725
466	0.16763
466.4	0.167698
466.8	0.167697
467.2	0.167683
467.6	0.167652
468	0.1676
468.4	0.167505
468.8	0.16767
469.2	0.167656
469.6	0.167636
470	0.167597
470.4	0.16759
470.8	0.167601
471.2	0.167581
471.6	0.167558
472	0.167597
472.4	0.167479
472.8	0.167591
473.2	0.167581
473.6	0.167573
474	0.16753
474.4	0.167549
474.8	0.167537
475.2	0.167547
475.6	0.167571
476	0.167551
476.4	0.167539
476.8	0.167384
477.2	0.167545
477.6	0.167247
478	0.167577
478.4	0.167536
478.8	0.167509
479.2	0.167492
479.6	0.167508
480	0.167494
480.4	0.167477
480.8	0.167478
481.2	0.16746
481.6	0.167277
482	0.167083
482.4	0.167358
482.8	0.167303
483.2	0.167396
483.6	0.167337
484	0.16724
484.4	0.167288
484.8	0.16733
485.2	0.167303
485.6	0.167322
486	0.167242
486.4	0.167237
486.8	0.167243
487.2	0.167278
487.6	0.167124
488	0.167048
488.4	0.167256
488.8	0.167206
489.2	0.167377
489.6	0.167361
490	0.167111
490.4	0.167223
490.8	0.16729
491.2	0.167107
491.6	0.167307
492	0.166975
492.4	0.166986
492.8	0.166921
493.2	0.167126
493.6	0.167013
494	0.167256
494.4	0.16722
494.8	0.167077
495.2	0.167203
495.6	0.167343
496	0.16723
496.4	0.167089
496.8	0.167365
497.2	0.167309
497.6	0.16731
498	0.167191
498.4	0.167262
498.8	0.167243
499.2	0.167272
499.6	0.167284
500	0.16729
500.4	0.167267
500.8	0.167216
501.2	0.167172
501.6	0.167292
502	0.167282
502.4	0.167194
502.8	0.167137
503.2	0.166996
503.6	0.167107
504	0.167274
504.4	0.167219
504.8	0.167211
505.2	0.167244
505.6	0.167296
506	0.167248
506.4	0.167036
506.8	0.167261
507.2	0.167257
507.6	0.167139
508	0.167189
508.4	0.167018
508.8	0.16697
509.2	0.167082
509.6	0.167217
510	0.167114
510.4	0.167179
510.8	0.167195
511.2	0.167181
511.6	0.167187
512	0.167154
512.4	0.167085
512.8	0.167172
513.2	0.167212
513.6	0.167038
514	0.167193
514.4	0.167222
514.8	0.167109
515.2	0.16701
515.6	0.167029
516	0.166994
516.4	0.167104
516.8	0.16701
517.2	0.16699
517.6	0.167046
518	0.166951
518.4	0.166936
518.8	0.166951
519.2	0.166976
519.6	0.166937
520	0.167038
520.4	0.166893
520.8	0.166834
521.2	0.166887
521.6	0.166939
522	0.166995
522.4	0.166972
522.8	0.166931
523.2	0.166951
523.6	0.16699
524	0.166985
524.4	0.167023
524.8	0.167003
525.2	0.166983
525.6	0.167012
526	0.166977
526.4	0.166978
526.8	0.166943
527.2	0.166959
527.6	0.166941
528	0.166991
528.4	0.166961
528.8	0.166885
529.2	0.166941
529.6	0.166873
530	0.166914
530.4	0.16689
530.8	0.166868
531.2	0.166956
531.6	0.166885
532	0.166794
532.4	0.166898
532.8	0.166865
533.2	0.166909
533.6	0.166929
534	0.166905
534.4	0.166877
534.8	0.166855
535.2	0.166912
535.6	0.166916
536	0.166835
536.4	0.1669
536.8	0.166854
537.2	0.166826
537.6	0.166851
538	0.166902
538.4	0.166786
538.8	0.166849
539.2	0.166872
539.6	0.166872
540	0.166863
540.4	0.166875
540.8	0.166831
541.2	0.166843
541.6	0.166741
542	0.166743
542.4	0.166763
542.8	0.166887
543.2	0.166875
543.6	0.166834
544	0.166894
544.4	0.166919
544.8	0.166838
545.2	0.166851
545.6	0.166823
546	0.166951
546.4	0.166817
546.8	0.166674
547.2	0.166723
547.6	0.166679
548	0.166954
548.4	0.166801
548.8	0.166915
549.2	0.166852
549.6	0.166769
550	0.166901
550.4	0.166882
550.8	0.167046
551.2	0.167042
551.6	0.167101
552	0.167125
552.4	0.167201
552.8	0.167224
553.2	0.167231
553.6	0.167282
554	0.167228
554.4	0.167331
554.8	0.167347
555.2	0.167403
555.6	0.167495
556	0.167496
556.4	0.167552
556.8	0.167687
557.2	0.167709
557.6	0.167704
558	0.16783
558.4	0.16788
558.8	0.168
559.2	0.168051
559.6	0.168151
560	0.168195
560.4	0.168222
560.8	0.168407
561.2	0.168495
561.6	0.168624
562	0.16874
562.4	0.168813
562.8	0.168904
563.2	0.169022
563.6	0.169106
564	0.169206
564.4	0.169312
564.8	0.169403
565.2	0.16949
565.6	0.16956
566	0.169625
566.4	0.169664
566.8	0.16972
567.2	0.169577
567.6	0.16963
568	0.169618
568.4	0.169817
568.8	0.169605
569.2	0.169608
569.6	0.169785
570	0.169795
570.4	0.169618
570.8	0.169694
571.2	0.169638
571.6	0.169582
572	0.169535
572.4	0.169488
572.8	0.169392
573.2	0.169264
573.6	0.169249
574	0.169128
574.4	0.169046
574.8	0.168984
575.2	0.168872
575.6	0.168775
576	0.168713
576.4	0.16862
576.8	0.168587
577.2	0.168197
577.6	0.168239
578	0.168359
578.4	0.168297
578.8	0.168246
579.2	0.16817
579.6	0.168112
580	0.168013
580.4	0.167984
580.8	0.167901
581.2	0.167853
581.6	0.167872
582	0.167811
582.4	0.167832
582.8	0.167824
583.2	0.167816
583.6	0.167852
584	0.167866
584.4	0.167898
584.8	0.167997
585.2	0.168106
585.6	0.168262
586	0.168437
586.4	0.168702
586.8	0.169057
587.2	0.169508
587.6	0.170079
588	0.170784
588.4	0.171678
588.8	0.172756
589.2	0.174007
589.6	0.175516
590	0.177148
590.4	0.178926
590.8	0.180868
591.2	0.182792
591.6	0.18475
592	0.186653
592.4	0.188507
592.8	0.190265
593.2	0.19183
593.6	0.19332
594	0.1946
594.4	0.195697
594.8	0.196624
595.2	0.197397
595.6	0.198033
596	0.198563
596.4	0.198989
596.8	0.199386
597.2	0.199648
597.6	0.199884
598	0.200015
598.4	0.200093
598.8	0.200128
599.2	0.200112
599.6	0.200052
600	0.199956
600.4	0.199823
600.8	0.199662
601.2	0.199501
601.6	0.199296
602	0.199014
602.4	0.198809
602.8	0.198566
603.2	0.198244
603.6	0.19787
604	0.197705
604.4	0.197116
604.8	0.196936
605.2	0.196516
605.6	0.196265
606	0.195926
606.4	0.195456
606.8	0.195098
607.2	0.194958
607.6	0.194349
608	0.19422
608.4	0.193619
608.8	0.193329
609.2	0.192964
609.6	0.192392
610	0.192106
610.4	0.191493
610.8	0.190888
611.2	0.190497
611.6	0.190272
612	0.189858
612.4	0.18933
612.8	0.188913
613.2	0.188375
613.6	0.187884
614	0.187563
614.4	0.187078
614.8	0.186781
615.2	0.186156
615.6	0.1857
616	0.18525
616.4	0.184885
616.8	0.184419
617.2	0.183716
617.6	0.183383
618	0.182832
618.4	0.182418
618.8	0.182171
619.2	0.18169
619.6	0.181255
620	0.18082
620.4	0.180359
620.8	0.17993
621.2	0.179497
621.6	0.178925
622	0.178503
622.4	0.178158
622.8	0.177804
623.2	0.177342
623.6	0.17704
624	0.17642
624.4	0.176196
624.8	0.175969
625.2	0.175517
625.6	0.17522
626	0.174923
626.4	0.174665
626.8	0.174397
627.2	0.17402
627.6	0.173483
628	0.17347
628.4	0.173315
628.8	0.17303
629.2	0.172579
629.6	0.172631
630	0.172414
630.4	0.172112
630.8	0.171976
631.2	0.171817
631.6	0.171635
632	0.171442
632.4	0.171259
632.8	0.171171
633.2	0.170975
633.6	0.170801
634	0.170746
634.4	0.170518
634.8	0.170497
635.2	0.170305
635.6	0.170243
636	0.170175
636.4	0.170021
636.8	0.17
637.2	0.169878
637.6	0.169548
638	0.169709
638.4	0.169384
638.8	0.169463
639.2	0.169319
639.6	0.169357
640	0.169218
640.4	0.169067
640.8	0.169013
641.2	0.169039
641.6	0.169064
642	0.16906
642.4	0.169016
642.8	0.168991
643.2	0.168938
643.6	0.168885
644	0.16881
644.4	0.168758
644.8	0.168726
645.2	0.168683
645.6	0.168623
646	0.16855
646.4	0.168528
646.8	0.168505
647.2	0.168456
647.6	0.168422
648	0.168381
648.4	0.168238
648.8	0.168178
649.2	0.16824
649.6	0.168248
